Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
6.8 GET /runtime/internal/api/v2/app/{app_name},2052,207,186,296,305,318,156,646,0.00%,6.8,3128.6,50.02
6.3 GET /runtime/internal/api/v2/runtimeEnvironment/{env_id},439,129,128,147,155,183,98,303,0.00%,1.5,1.7,17.08
6.5 GET /runtime/internal/api/v3/runtimeEnvironments,293,204,87,482,512,666,56,809,0.00%,1.0,23.5,165.76
6.6 GET /runtime/internal/api/v3/runtimeEnvironment/agentId/{agentId},293,27,28,34,35,40,19,54,0.00%,1.0,1.5,4.95
6.7 GET /runtime/internal/api/v2/agent/{agentId},293,136,135,155,159,168,113,206,0.00%,1.0,1.4,14.47
6.9 GET /runtime/internal/api/v3/serviceRegistration/agentId?agentId={agentId},293,26,25,31,33,38,18,108,0.00%,1.0,1.4,6.46
6.1 POST /runtime/internal/api/v3/runtimeEnvironment,146,530,496,716,811,917,359,920,0.00%,.5,1.6,125.70
6.1 POST /runtime/internal/api/v3/runtimeEnvironment-0,146,0,0,1,1,1,0,4,0.00%,.5,1.1,0.54
6.4 DELETE /runtime/internal/api/v3/runtimeEnvironment/{env_id},146,361,353,435,452,472,274,499,0.00%,.5,.3,59.06
00 GET FlattenedJobLogEntries status SUCCESS,28842,66,67,78,81,90,21,796,0.00%,96.2,1271.7,18.58
7.3 GET FlattenedJobLogEntries filter=runId,28833,18,19,23,24,28,11,468,0.00%,96.2,185.7,6.76
Prereq Logout,32037,30,30,38,40,48,19,439,0.00%,106.9,80.9,7.77
7.1 GET FlattenedJobLogEntries status SUCCESS,1602,67,67,77,80,87,44,628,0.00%,5.4,67.0,18.37
7.2 GET FlattenedJobLogEntries status RUNNING,1602,17,18,21,27,37,10,162,0.00%,5.4,6.9,6.21
7.4 GET FlattenedJobLogEntries filter=startTime,1602,17,17,21,22,27,10,524,0.00%,5.4,4.0,13.31
7.5 GET FlattenedJobLogEntries filter= parentEntityId and MTT assetType,1602,17,17,21,22,26,10,68,0.00%,5.4,4.2,3.68
7.6 GET FlattenedJobLogEntries filter = assetId runId,1602,17,17,21,22,26,10,79,0.00%,5.4,4.2,3.68
Prereq Get_Job_Log_Entries,1601,58,52,79,115,141,37,337,0.00%,5.4,954.3,25.31
7.8 GET JobLogEntries?$expand=childLogEntries,1601,18,19,22,23,28,11,73,0.00%,5.4,8.7,3.87
7.9 GETJobLogEntries?$filter=correlationId,1601,24,24,30,33,37,16,65,0.00%,5.4,8.5,4.40
8.1 GET /auditlog-service/internal/api/v1/Orgs('{orgId}')/AuditEntries,24553,16,17,20,21,23,10,71,0.00%,81.9,25.7,3.04
11.1 POST callback-service/internal/api/v1/enqueue,122507,22,19,22,24,141,12,779,0.00%,408.3,247.2,33.24
Prereq FRS_Get_Projects,10,111,111,122,122,123,97,123,0.00%,1.1,2.4,9.04
12.1 POST /vcs/internal/api/v1/odata/Checkin?asyncMode=false,70,16521,16523,17408,17496,18084,15233,18945,0.00%,.2,.3,689.25
12.4 GET /vcs/internal/api/v1/odata/SourceControlActions('{id}'),247,36,34,42,62,97,24,171,0.00%,.9,1.2,14.03
12.2 POST /vcs/internal/api/v1/odata/Checkout?asyncMode=false,125,7851,5203,12574,12759,13590,2774,13827,0.00%,.4,.6,4130.44
12.3 POST /vcs/internal/api/v1/odata/UndoCheckout?asyncMode=false,62,13884,13796,15524,15661,16233,12209,16327,0.00%,.2,.3,990.94
13.1 POST /preference-service/api/v1/Users('{id}')/Preferences,3604,50,50,57,60,66,35,490,0.06%,12.0,7.2,11.13
13.2 PUT /preference-service/api/v1/Users('{id}')/Preferences('{fullyQualifiedName}'),3602,17,17,20,20,23,12,40,0.00%,12.0,7.4,2.02
13.4 GET /preference-service/api/v1/Users('{id}')/Preferences,3599,14,14,16,17,20,10,28,0.00%,12.0,41.2,1.72
13.3 DELETE /preference-service/api/v1/Users('{id}')/Preferences('{fullyQualifiedName}'),3599,17,18,20,21,24,13,76,0.00%,12.0,7.4,2.45
Login,1002,59,59,72,75,80,44,91,0.00%,3.3,63.0,8.97
14.1 GET /sms/internal/api/v1/connection?orgId={orgId},1001,93,93,104,107,119,74,239,0.00%,3.3,3.2,9.99
Logout,1000,28,28,34,36,42,19,58,0.00%,3.3,2.5,4.66
0.0 SDS Login,5,75,76,78,84,84,68,84,0.00%,1.2,23.1,5.57
15.1 GET /sds/internal/api/v3/deploymentGroup/org/{orgid},334,37,37,45,49,77,23,111,0.00%,1.1,.2,9.13
15.4 GET /sds/internal/api/v3/serviceDetails/org/{orgid}?caller=MicroService,334,42,43,50,52,58,30,84,0.00%,1.1,40.2,6.09
15.5 GET /sds/internal/api/v3/serviceDetails/org/{orgid}?caller=Agent,334,42,43,50,51,60,29,68,0.00%,1.1,39.1,5.79
15.6 GET /sds/internal/api/v3/serviceDetails/deploymentGroup/pod1?caller=MicroService,334,43,43,50,53,66,28,88,0.00%,1.1,40.1,6.65
15.7 GET /sds/internal/api/v3/serviceDetails/deploymentGroup/pod1?caller=Agent,333,42,43,50,52,61,28,64,0.00%,1.1,39.1,6.07
15.8 GET /sds/internal/api/v3/org/deploymentInstance/pod1?serviceScope=ORG,333,99,99,107,110,118,85,124,0.00%,1.1,.3,6.23
15.9 GET /sds/internal/api/v3/org/deploymentInstance/pod1?serviceScope=REGION,333,99,98,107,110,120,83,158,0.00%,1.1,.3,7.53
15.10 GET /sds/internal/api/v3/org/deploymentInstance/pod1?serviceScope=GLOBAL,333,98,98,106,108,115,84,124,0.00%,1.1,.3,6.05
15.11 GET /sds/internal/api/v3/org/deploymentGroup/{deployment_id},332,38,38,46,49,60,25,90,0.00%,1.1,1.0,7.05
00 login,8022,58,58,72,74,79,40,95,0.00%,26.4,242.4,9.57
16.1 GET /content-repo/internal/api/v1/Contents?$filter=contentType%20eq%20'BUNDLE'%20and%20lastUpdatedTime%20ge%202024-09-09T00:00:00Z,6411,57,58,69,71,77,41,117,0.00%,21.4,351.4,8.95
