Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
18.1 GET /token-service/internal/api/v1/token/name/AWSPerfMixLoad{i},413,14,12,14,17,69,7,684,100.00%,4.9,2.2,38.36
TOTAL,413,14,12,14,17,69,7,684,100.00%,4.9,2.2,38.36
