AI_CONNECTION
AI_SERVICE_CONNECTOR
API_COLLECTION
APIM_API
APPMI_TASK
Assess
AT_SCALE_MAPPING
ATS_CLUSTER
BATCH_MAPPING
BUNDLE_DEFINITION
CLEANSE
ConversionTask
DBMI_TASK
DEDUPLICATE
DICTIONARY
DLT
DMAPPLET
Do
DTT
ECOSYSTEM_MAPPING
Folder
GUIDE
HUMAN_TASK
LABELER
MAPPING
MCT
MDM_APP_COMPONENT
MDM_APP_PAGE
MDM_APPLICATION
MDM_AUTHORIZATION
MDM_BUSINESS_ENTITY
MDM_BUSINESS_EVENT
MDM_DYNAMIC_POOL
MDM_ENRICHMENT_PROVIDER
MDM_ENRICHMENT_PROVIDER_MAPPING
MDM_ENRICHMENT_SCENARIO_GROUP
MDM_HIERARCHY
MDM_JOB_DEFINITION
MDM_REFERENCE_ENTITY
MDM_RELATIONSHIP
MDM_REPORT
MDM_REPORT_SET
MDM_SRC_SYSTEM
MI_FILE_LISTENER
MI_TASK
PARSE
PROCESS
PROCESS_OBJECT
PROFILE
Project
RULE_SPECIFICATION
SAAS_AGENT
SAAS_BSERVICES
SAAS_CONNECTION
SAAS_CUSTOM_FUNC
SAAS_DMASK
SAAS_DRS
SAAS_DSS
SAAS_FWCONFIG
SAAS_HSCHEMA
SAAS_ITEMPLATE
SAAS_LINEAR_TASKFLOW
SAAS_PCTASK
SAAS_RUNTIME_ENVIRONMENT
SAAS_SAVED_QUERY
SAAS_STRUCTURE_DISCOVERY
SAAS_SWAGGER
SCHEDULE
SCHEDULE_BLACKOUT
SCHEDULE_JOB
SEQUENCE_GEN
SI_DATAFLOW
TASKFLOW
test_case
test_suite
UDF
VERIFIER
